film_id,clip_id,film_title,release_date,genres,mood,is_source_separataed,soundtrack_title,caption
AA,0,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",happy,N,MainTitle,"A live brass orchestra performance with tuba and trombone melody, bass line, and electronic drum beat."
AA,1,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Reporting Ηis Οwn Murder,"A horn melody with orchestral accompaniment transitions to a live orchestral performance with strings, woodwinds, and french horns."
AA,2,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Lovers Quarrel,"A theremin melody performance transitions to orchestral music with strings and brass, followed by violin and cello."
AA,3,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",happy,N,Juke Box Theme,"A symphonic orchestra performance transitions to a brass orchestra with trombone and tuba melody, concluding with brass and woodwind orchestral performance."
AA,4,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Paulas Love Note,"An instrumental with horn melody accompanied by strings, horns and rhythm section for the first 20 seconds."
AA,5,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Strange Sickness,"A symphonic orchestra recording transitions to a traditional church choir singing Christmas carols, followed by another symphonic orchestra piece."
AA,6,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Luminous Toxin,"A classical orchestral piece with strings and woodwinds transitions to a clarinet-led piece with winds and horns, ending with a march-style trombone and tuba piece."
AA,7,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Escape to Nowhere,"An instrumental with horn and tuba melody accompanied by strings transitions to an orchestral performance with brass, woodwinds, and percussion."
AA,8,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Dont Come Paula,Three consecutive segments of a symphonic orchestra recording creating excitement and urgency.
AA,9,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,It Was Suicide,"A classical piece with tuba melody transitions to two segments of an orchestral piece featuring french horns, violins, and tubas."
AA,10,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Allison Hotel,"An instrumental with clarinet lead transitions to a cello solo, followed by orchestral music with strings and brass."
AA,11,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",peaceful,N,Bill of Sale,"A symphonic orchestra recording transitions through two similar segments before changing to an orchestral performance with brass, woodwinds, and percussion."
AA,12,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Tracking Reynolds,A live classical brass orchestra performance with trombone lead melody for the first 10 seconds.
AA,13,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Unknown Assailant,"A classical piece with strings and tuba transitions to an orchestral performance with brass and woodwinds, ending with strings and low brass."
AA,14,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Assassin Escapes,A brass orchestra performance with trombone and tuba transitions to a symphonic orchestra recording for the first 20 seconds.
AA,15,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Hotel Hoods,"An instrumental with brass section transitions to a march-style brass orchestra piece, followed by an orchestral performance with strings and woodwinds."
AA,16,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Soft in the Belly,"An instrumental with brass section harmony transitions to a classical orchestral piece with strings and brass, ending with a symphonic orchestra recording."
AA,17,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,The Gold Urn,"A symphonic orchestra recording transitions to an orchestral performance with brass and woodwinds, concluding with a classical brass orchestra piece."
AA,18,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Taken for a Ride,"An instrumental with horn melody and trombone transitions to an orchestral performance with brass and strings, ending with a classical orchestral piece."
AA,19,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Last Farewell,"An instrumental with brass section and violin transitions to a string quartet performance, concluding with a symphonic orchestra recording."
AA,20,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,Stanleys Confession,"An instrumental with brass section harmony transitions through orchestral performances featuring brass, woodwinds, and strings."
AA,21,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,On the Trail,"A classical piece with tuba and flute transitions to an orchestral performance with brass and woodwinds, ending with a symphonic orchestra recording."
AA,22,D.O.A.,1949-12-23,"Crime, Drama, Film-Noir, Mystery",nervous,N,The Flashback Comes to the End,"A harpsichord quintet performance transitions to a violin, cello, and piano trio, concluding with a symphonic orchestra recording."
AB,0,Scarlet Street,1945-12-25,"Crime, Drama, Film-Noir, Thriller",happy,N,Main Title,"A classical accordion performance with bass and percussion transitions to orchestral pieces with strings, brass, and woodwinds."
AC,0,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",happy,N,Main Title and Narration,"a soundtrack of orchestral performances featuring strings, woodwinds, and brass with varying intensities."
AC,1,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",sad,N,The Morgan Farm,A brass composition transitions to string-led orchestral pieces focusing on violins and cellos.
AC,2,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Oxhead Wood Mystery,"A brass composition transitions to an orchestral piece with french horns and violins, ending with a classical piece featuring brass and strings."
AC,3,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Petes Strange Knowledge,"Two consecutive segments of a brass composition featuring trumpets, horn, and bass for the first 20 seconds."
AC,4,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,The Barn,"A French horn solo with orchestral accompaniment transitions to violin and cello harmony, ending with a classical orchestral piece."
AC,5,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,Attack in the Woods,"A brass composition transitions to a classical song with strings and brass, ending with a horn melody."
AC,6,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",nervous,N,The Accusation and the Conspiracy,"A brass composition transitions to an instrumental with horn melody, ending with a synthesizer-based instrumental."
AC,7,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",peaceful,N,Search in the Woods,"A brass composition transitions to a synthesizer-based instrumental, ending with a string composition."
AC,8,The Red House,1947-02-06,"Drama, Film-Noir, Mystery, Thriller",happy,N,Swimming,"A piano melody with violin transitions to a harp quintet performance, concluding with an orchestral performance."
